lokasi_halte,tahun_pembuatan,,,,,,,,
Jl. Otista Raya depan GOR,2005,,,,,,,,
Jl. Otista Raya depan Sekolahan / BRI,2005,,,,,,,,
Jl. Otista Raya dekat Mess UI,2005,,,,,,,,
Jl. Raya Bogor dekat kampus 10 November,2005,,,,,,,,
Jl. Sutoyo seberang BKN,2005,,,,,,,,
Jl. Sutoyo depan Perumnas / Bank Mandiri,2005,,,,,,,,
Jl. Sutoyo simpang Trikora Kalimalang,2005,,,,,,,,
Jl. Raya Taman Mini dekat jalan Tol,2005,,, ,,,,,
Jl. Raya Taman Mini dekat Pintu 1,2005,,,,,,,,
Jl. Pondok Gede dekat sekolahan SDN 06 Pg Kampung Dukuh,2005,,,,,,,,
Jl. Pondok Gede seberang Pool Taxi Blue Bird,2005,,,,,,,,
Jl. Raya Gempol (T-B) sisi Selatan Tol Jaktim ,2005,,,,,,,,
Jl. Raya Penggilingan depan SDN 01 Pagi Penggilingan,2005,,,,,,,,
Jl. Raya Penggilingan depan SDN 01 Pagi Penggilingan Jakarta Timur,2005,,,,,,,,
Jl. Sunter Agung Utara depan Sekolah SMPN 140  Jakarta Utara,2005,,,,,,,,
Jl. Yos Sudarso (U-S) dpn Polres Jakarta Utara,2005,,,,, ,,,
Jl. Yos Sudarso dekat simpang Jl. Plumpang,2005,,,,,,,,
Jl. Perintis Kemerdekaan depan UP Perparkiran (Pool Busway ) Jaktim,2005,,,,,,,,
Jl. Raya Bekasi (T-B) depan PT. United Tractor,2005,,,,,, ,,
Jl. Raya Bekasi (B-T) dpn Bank Mandiri (PTC) Jaktim,2005,,,,,,,,
Jl. Raya Bekasi (T-B) sbr PT. IGI Jaktim,2005,,,,,,,,
Jl. Raya Bogor (U-S) depan Mall Ramayana Jaktim,2005,,,,,,,,
Jl. Raya Ragunan Psr Minggu (T-B) dpn Graha Gapensi Jaksel,2007,,,,,,,,
Jl. Pertanian 3 Pasar Minggu (T-B) depan Gd. Karya Sosial,2007,,, ,,, ,,
Jl. Raya Tanjung  Barat dpn SMA Bunda kandung Jaksel,2007,,,,,,,,
Jl. Raya Ragunan Psr Minggu (T-B) dpn Graha Gapensi Jaksel,2008,,,,,,,,
Jl. Raya Penggilingan (T-B)  sberang Al  Wathoniyah 9  Jaktim,2008,,,,,,,,
Jl. Raya Penggilingan (T-B)  depan Al  Wathoniyah 9   Jaktim,2008,,,,,,,,
