no_body,no_regristasi,nama_pemilik,alamat,wilayah,jenis_kendaraan,merk_type,jenis_model,tahun,isi_silinder,no_rangka,no_mesin,keterangan
BS 01,B 7070.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002083,4D33BX2335,PROSES PENGHAPUSAN
BS 02,B 7071.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002076,4D33BX2328,PROSES PENGHAPUSAN
BS 03,B 7072.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002049,4D33B02181,PROSES PENGHAPUSAN
BS 04,B 7073.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002038,4D33B92170,PROSES PENGHAPUSAN
BS 05,B 7074.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002037,4D33B92169,PROSES PENGHAPUSAN
BS 06,B 7075.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002081,4D33BX2333,PROSES PENGHAPUSAN
BS 07,B 7076.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002080,4D33BX2332,PROSES PENGHAPUSAN
BS 08,B 7077.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002059,4D33B02191,PROSES PENGHAPUSAN
BS 10,B 7079.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002072,4D33BX2324,PROSES PENGHAPUSAN
BS 11,B 7080.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002064,4D33BO2196,PROSES PENGHAPUSAN
BS 12,B 7081.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002065,4D33BX2317,PROSES PENGHAPUSAN
BS 13,B 7082.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002060,4D33BX2060,PROSES PENGHAPUSAN
BS 14,B 7083.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002062,4D33BO2194,PROSES PENGHAPUSAN
BS 15,B 7084.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002070,4D33BX2322,PROSES PENGHAPUSAN
BS 16,B 7085.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002073,4D33BX2325,PROSES PENGHAPUSAN
BS 17,B 7086.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002071,4D33BX2323,PROSES PENGHAPUSAN
BS 18,B 7087.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002068,4D33BX2320,PROSES PENGHAPUSAN
BS 19,B 7088.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002061,4D33BO2193,PROSES PENGHAPUSAN
BS 20,B 7089.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002063,4D33BO2195,PROSES PENGHAPUSAN
BS 21,B 7090.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002051,4D33BO2183,PROSES PENGHAPUSAN
BS 22,B 7091.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002050,4D33BO2182,PROSES PENGHAPUSAN
BS 23,B 7092.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002053,4D33BO2185,PROSES PENGHAPUSAN
BS 24,B 7093.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002054,4D33BO2186,PROSES PENGHAPUSAN
BS 25,B 7094.QK,DISHUB PROVINSI DKI JAKARTA,"Jl. Taman Jatibaru No.1, Jakarta Pusat",Jakarta Pusat,SEDANG,Mitsubishi,Micro/Minibus,2006,4214,MHMFE447F6T002067,4D33BX2319,PROSES PENGHAPUSAN
