jenis_rute,nama_rute,rute,jumlah_armada
Rute Reguler,Rute 1,LAPANGAN BANTENG - PRINTIS KEMERDEKAAN,8
Rute Reguler,Rute 2,PLUMPANG - SUNTER - KEMAYORAN,8
Rute Reguler,Rute 3,TMII - GANDARIA,8
Rute Reguler,Rute 4,PRINTIS KEMERDEKAAN - PONDOK KOPI,8
Rute Reguler,Rute 5,TMII - TB.KAMPUNG MELAYU,8
Rute Reguler,Rute 6 ,KEBAYORAN - TB.PASAR MINGGU,8
Rute Reguler,Rute 7,TB.PASAR MINGGU - RANCO - LT.AGUNG - UI,6
Rute Reguler,Rute 8,TB.PASAR MINGGU - TB.MANGGARAI,4
Rute Reguler,Rute 9,CAWANG - PLUMPANG,4
Rute Reguler,Rute 10,CILINCING - PRINTIS KEMERDEKAAN,4
Rute Reguler,Rute 11,TB.KAMPUNG MELAYU - LAPANGAN BANTENG,4
Rute Reguler,Rute 12,BLOK M - CILEDUK,4
Rute Reguler,Rute 13,KALIDERES - GROGOL - GADJAH MADA,4
Rute Reguler,Rute 14,PULOGADUNG - PONDOK BAMBU - CAWANG,6
Rute Reguler,Rute 15,PONDOK LABU - FATMAWATI - BLOK M,6
Rute Zonasi,ZONASI 1,PONDOK GEDE - CONDET - RANCO,6
Rute Zonasi,ZONASI 2,TB.KAMPUNG MELAYU - TB.RAWAMANGUN,6
Rute Zonasi,ZONASI 3,TB.KALIDERES - PETA SELATAN - KAMAL,6
Rute Zonasi,ZONASI 4,TB.KALIDERES - DURI KOSAMBI,6
Rute Zonasi,ZONASI 5,TB.PULOGADUNG - CIKINI,5
Rute Zonasi,ZONASI 6,CAWANG - RAGUNAN,5
Rute Zonasi,ZONASI 7,TB.KAMPUNG MELAYU - LAPANGAN BANTENG,5
Rute Zonasi,ZONASI 8,TB.KALIDERES - GAJAH MADA,4
Rute Zonasi,ZONASI 9,ROROTAN - MARUNDA,2
