rute,nama_rute,bulan,jumlah
Rute 1,Lapangan Banteng  -  Perintis ,2014-01,14600
Rute 2,Pelumpang - Sunter - Kemayoran,2014-01,11378
Rute 3,TMII - Gandaria,2014-01,18132
Rute 4,Pondok Kopi -  Perintis Kemerdekaan,2014-01,16188
Rute 5,TMII - Terminal Kampung Melayu,2014-01,12174
Rute 6,Terminal Pasar Minggu - Kebayoran,2014-01,10634
Rute 7,Terminal Pasar Minggu - Universitas Indonesia,2014-01,16922
Rute 8,Terminal Pasar Minggu - Manggarai,2014-01,10620
Rute 9,Cawang - PGC - Plumpang,2014-01,7081
Rute 10,Cilincing - Perintis ,2014-01,3219
Rute 11,Pendok Gede - Condet - Rancho,2014-01,13931
Rute 12,Terminal Kampung Melayu - Terminal Rawamangun,2014-01,6890
Rute 13,Terminal Kalideres - Kamal,2014-01,6080
Rute 14,Terminal Kalideres - Duri Kosambi,2014-01,7250
Rute 15,Blok M - Ciledug,2014-01,567
Rute 16,Lapangan Banteng  -  Terminal Kampung Melayu,2014-01,983
Rute 17,Cawang - Ragunan,2014-01,0
Rute 18,Blok M - Pondok Labu,2014-01,0
Rute 19,Kalideres - Gajahmada,2014-01,0
Rute 20,Pulogadung - Cikini,2014-01,0
Rute 1,Lapangan Banteng  -  Perintis ,2014-02,15549
Rute 2,Pelumpang - Sunter - Kemayoran,2014-02,17991
Rute 3,TMII - Gandaria,2014-02,26443
Rute 4,Pondok Kopi -  Perintis Kemerdekaan,2014-02,23729
Rute 5,TMII - Terminal Kampung Melayu,2014-02,19900
Rute 6,Terminal Pasar Minggu - Kebayoran,2014-02,11991
Rute 7,Terminal Pasar Minggu - Universitas Indonesia,2014-02,20576
Rute 8,Terminal Pasar Minggu - Manggarai,2014-02,11978
Rute 9,Cawang - PGC - Plumpang,2014-02,11373
Rute 10,Cilincing - Perintis ,2014-02,5540
Rute 11,Pendok Gede - Condet - Rancho,2014-02,16286
Rute 12,Terminal Kampung Melayu - Terminal Rawamangun,2014-02,10723
Rute 13,Terminal Kalideres - Kamal,2014-02,9116
Rute 14,Terminal Kalideres - Duri Kosambi,2014-02,10811
Rute 15,Blok M - Ciledug,2014-02,11222
Rute 16,Lapangan Banteng  -  Terminal Kampung Melayu,2014-02,9556
Rute 17,Cawang - Ragunan,2014-02,1547
Rute 18,Blok M - Pondok Labu,2014-02,1002
Rute 19,Kalideres - Gajahmada,2014-02,0
Rute 20,Pulogadung - Cikini,2014-02,0
Rute 1,Lapangan Banteng  -  Perintis ,2014-03,18289
Rute 2,Pelumpang - Sunter - Kemayoran,2014-03,19088
Rute 3,TMII - Gandaria,2014-03,27066
Rute 4,Pondok Kopi -  Perintis Kemerdekaan,2014-03,23619
Rute 5,TMII - Terminal Kampung Melayu,2014-03,19325
Rute 6,Terminal Pasar Minggu - Kebayoran,2014-03,13418
Rute 7,Terminal Pasar Minggu - Universitas Indonesia,2014-03,20705
Rute 8,Terminal Pasar Minggu - Manggarai,2014-03,13640
Rute 9,Cawang - PGC - Plumpang,2014-03,11677
Rute 10,Cilincing - Perintis ,2014-03,6024
Rute 11,Pendok Gede - Condet - Rancho,2014-03,13074
Rute 12,Terminal Kampung Melayu - Terminal Rawamangun,2014-03,9966
Rute 13,Terminal Kalideres - Kamal,2014-03,9694
Rute 14,Terminal Kalideres - Duri Kosambi,2014-03,13145
Rute 15,Blok M - Ciledug,2014-03,13773
Rute 16,Lapangan Banteng  -  Terminal Kampung Melayu,2014-03,14240
Rute 17,Cawang - Ragunan,2014-03,6557
Rute 18,Blok M - Pondok Labu,2014-03,5890
Rute 19,Kalideres - Gajahmada,2014-03,4491
Rute 20,Pulogadung - Cikini,2014-03,3118
Rute 1,Lapangan Banteng  -  Perintis ,2014-04,15299
Rute 2,Pelumpang - Sunter - Kemayoran,2014-04,12861
Rute 3,TMII - Gandaria,2014-04,19682
Rute 4,Pondok Kopi -  Perintis Kemerdekaan,2014-04,18481
Rute 5,TMII - Terminal Kampung Melayu,2014-04,18224
Rute 6,Terminal Pasar Minggu - Kebayoran,2014-04,8616
Rute 7,Terminal Pasar Minggu - Universitas Indonesia,2014-04,14803
Rute 8,Terminal Pasar Minggu - Manggarai,2014-04,7794
Rute 9,Cawang - PGC - Plumpang,2014-04,9407
Rute 10,Cilincing - Perintis ,2014-04,3863
Rute 11,Pendok Gede - Condet - Rancho,2014-04,6764
Rute 12,Terminal Kampung Melayu - Terminal Rawamangun,2014-04,4842
Rute 13,Terminal Kalideres - Kamal,2014-04,4984
Rute 14,Terminal Kalideres - Duri Kosambi,2014-04,5024
Rute 15,Blok M - Ciledug,2014-04,5559
Rute 16,Lapangan Banteng  -  Terminal Kampung Melayu,2014-04,8158
Rute 17,Cawang - Ragunan,2014-04,4766
Rute 18,Blok M - Pondok Labu,2014-04,4937
Rute 19,Kalideres - Gajahmada,2014-04,6203
Rute 20,Pulogadung - Cikini,2014-04,3575
Rute 1,Lapangan Banteng  -  Perintis ,2014-05,5947
Rute 2,Pelumpang - Sunter - Kemayoran,2014-05,4776
Rute 3,TMII - Gandaria,2014-05,9943
Rute 4,Pondok Kopi -  Perintis Kemerdekaan,2014-05,10506
Rute 5,TMII - Terminal Kampung Melayu,2014-05,10184
Rute 6,Terminal Pasar Minggu - Kebayoran,2014-05,6661
Rute 7,Terminal Pasar Minggu - Universitas Indonesia,2014-05,8716
Rute 8,Terminal Pasar Minggu - Manggarai,2014-05,5023
Rute 9,Cawang - PGC - Plumpang,2014-05,4400
Rute 10,Cilincing - Perintis ,2014-05,1889
Rute 11,Pendok Gede - Condet - Rancho,2014-05,4253
Rute 12,Terminal Kampung Melayu - Terminal Rawamangun,2014-05,3681
Rute 13,Terminal Kalideres - Kamal,2014-05,1423
